domain_tax,phylum_tax,class_tax,order_tax,family_tax,subfamily,otu_id,rep_prokMSA_id,rep_acc,taxa_string,rep_prokMSAname,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk_10,wk_11,wk_12,wk_13,wk_14,wk_15,wk_16,wk_17
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,1040,46967,AF337869.2,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;1040,gold mine clone D15,1658,2157,1941,2463,1234,2352,2599,2500,2623,1665,2940,2697,2408,2718,2038,2802,2070
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,176,75775,AJ519387.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;176,uranium mining waste pile clone JG37-AG-112 sp.,3045,3309,2870,3520,2530,3676,4346,4594,3925,2649,4703,4381,3390,3763,2811,4157,2945
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,209,76566,AJ519367.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;209,uranium mining waste pile clone JG37-AG-29 sp.,2336,2211,1805,3174,1388,3005,2716,2544,2093,1966,2646,2664,2382,2043,2178,2490,2302
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,274,75044,AJ519379.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;274,uranium mining waste pile clone JG37-AG-73 sp.,3101,3247,2874,3497,2823,3477,3098,3076,3189,2325,3279,3547,3156,3062,2809,3460,2745
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,396,1833,Y07586.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;396,soil clone DA023,3246,3246,2971,3436,2554,3653,4301,4318,3865,2545,4547,4209,3358,3591,2683,3999,2838
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,508,75917,AJ519382.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;508,uranium mining waste pile clone JG37-AG-81 sp.,3204,3510,3011,3904,2573,4054,4803,4754,4188,2875,5250,4854,3772,4200,2920,4675,3105
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,541,76467,AJ519667.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;541,uranium mill tailings soil sample clone GuBH2-AG-47 sp.,3140,3113,2672,3227,2733,3872,4505,4847,3684,2668,4432,4366,3244,3426,2728,4197,2787
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,582,65464,AY102321.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;582,heavy metal-contaminated soil clone a13114,2975,3065,2712,3310,2204,3481,4247,4530,3429,2403,4182,4085,3105,3460,2639,3816,2706
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6335,63241,AF523984.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6335,forested wetland clone FW45,3403,3172,2836,3273,2979,3787,4689,4455,4095,2774,4117,4497,3355,3701,2591,4042,2744
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,Acidobacteriaceae,sf_14,6350,58105,AF498719.1,Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;sf_14;6350,soil isolate Ellin337,3326,3307,2969,3532,3074,3813,4798,4369,3964,2658,4500,4451,3327,3794,2707,4163,2808
